Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.032,0.41,37,10163,47654789735.00,0.07,215.00,344,0.028,0.1,0.134,75,68,1.3,0.412,0.544,0.045,0.498,The Americas,Guatemala
0.021,0.36,20,,2576602497.00,0.07,221.00,263,0.032,0.3,0.145,69,63,0.7,0.373,0.595,0.033,0.283,The Americas,Guyana
0.026,0.40,105,3211,7516834160.00,0.09,62.00,184,0.057,0.1,0.116,64,61,0.4,0.358,0.598,0.045,0.535,The Americas,Haiti
0.026,0.44,14,4740,17710325578.00,0.08,187.00,224,0.02,0.2,0.186,76,71,1,0.362,0.594,0.043,0.523,The Americas,Honduras
0.015,0.44,7,3066,14433926129.00,0.05,273.00,414,0.015,0.4,0.195,76,71,1.1,0.284,0.637,0.079,0.539,The Americas,Jamaica
0.019,0.53,6,186171,1170085556896.00,0.06,609.00,347,0.014,0.4,0.049,79,75,0.8,0.295,0.643,0.061,0.781,The Americas,Mexico
0.024,0.67,39,3038,9898547558.00,0.08,124.00,207,0.021,0.1,0.105,77,71,0.8,0.339,0.615,0.046,0.575,The Americas,Nicaragua
0.02,0.44,8,4058,33270500000.00,0.08,664.00,482,0.016,0.4,0.069,80,74,1.8,0.29,0.641,0.069,0.654,The Americas,Panama
0.024,0.35,35,4858,25071193102.00,0.09,352.00,387,0.02,0.2,0.174,74,70,1,0.331,0.616,0.053,0.587,The Americas,Paraguay
0.02,0.37,25,20582,170563949736.00,0.05,283.00,309,0.014,0.4,0.187,77,72,1.1,0.296,0.643,0.061,0.773,The Americas,Peru
0.011,0.63,6,,100351670000.00,,,218,,0.5,,82,75,0.8,0.201,0.666,0.132,0.938,The Americas,Puerto Rico
,,,,,,,,,,,,,,,,,1,The Americas,Sint Maarten (Dutch part)
,0.53,19,,728148148.00,0.06,820.00,203,0.008,0.8,0.094,,,1.5,,,,0.318,The Americas,St. Kitts and Nevis
0.016,0.34,15,,1295925926.00,0.08,513.00,92,0.013,0.5,0.1,77,72,1.2,0.248,0.666,0.086,0.185,The Americas,St. Lucia
0.017,,,,,,,,,,,82,76,,,,,,The Americas,St. Martin (French part)
0.017,0.39,10,,677037037.00,0.05,310.00,111,0.018,0.4,0.091,74,70,1.2,0.261,0.671,0.068,0.491,The Americas,St. Vincent and the Grenadines
0.018,0.28,694,,4363219094.00,0.06,490.00,199,0.022,0.3,0.118,74,67,1,0.283,0.652,0.065,0.663,The Americas,Suriname
0.015,0.29,41,20918,23676348287.00,0.05,935.00,210,0.02,0.6,0.08,73,66,1.4,0.207,0.708,0.085,0.089,The Americas,Trinidad and Tobago
,,,,,,,,,,,,,,,,,0.907,The Americas,Turks and Caicos Islands
0.013,0.47,5,2191193,15533800000000.00,0.18,8467.00,187,0.006,0.7,0.033,81,76,0.9,0.197,0.669,0.133,0.809,The Americas,United States
0.015,0.42,7,4430,47236710623.00,0.09,1213.00,336,0.01,0.5,0.098,80,73,1.4,0.223,0.638,0.139,0.946,The Americas,Uruguay
0.02,0.63,141,70198,316482176579.00,0.05,487.00,864,0.014,0.4,0.172,77,71,1,0.291,0.651,0.058,0.888,The Americas,"Venezuela, RB"
0.011,,,,,,,,,0.4,,83,76,,0.206,0.649,0.145,0.948,The Americas,Virgin Islands (U.S.)
