Birth Rate,Business Tax Rate,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Urban,Region,Country
0.038,0.65,161,1659,14425606793.00,0.03,85.00,606,0.039,0.1,,59,56,0.9,0.423,0.543,0.034,0.637,Africa,"Congo, Rep."
0.037,0.44,32,11233,24074553674.00,0.07,84.00,270,0.075,0,,51,49,0.9,0.417,0.552,0.031,0.513,Africa,Cote d'Ivoire
0.028,0.38,37,,1239144502.00,0.09,119.00,82,0.061,0.1,0.106,62,59,0.2,0.339,0.623,0.038,0.771,Africa,Djibouti
0.024,0.44,8,77649,236000735704.00,0.05,137.00,433,0.019,0.4,0.11,73,68,1.1,0.314,0.631,0.056,0.43,Africa,"Egypt, Arab Rep."
0.036,0.44,135,,15715842151.00,0.05,1051.00,492,0.073,0.1,,54,51,0.7,0.391,0.58,0.029,0.393,Africa,Equatorial Guinea
0.038,0.85,84,765,2607739837.00,0.03,12.00,216,0.038,0,,64,59,0,0.431,0.548,0.022,0.21,Africa,Eritrea
0.034,0.30,15,34064,31367606700.00,0.04,14.00,198,0.048,0,,64,61,0.2,0.439,0.528,0.033,0.177,Africa,Ethiopia
0.032,0.44,57,1997,18796191833.00,0.03,401.00,488,0.042,0.1,,64,62,1.5,0.385,0.562,0.053,0.86,Africa,Gabon
0.043,2.83,27,,898282866.00,0.05,24.00,376,0.051,0.1,0.28,60,57,0.8,0.459,0.516,0.025,0.57,Africa,"Gambia, The"
0.032,0.33,12,10550,39564970070.00,0.05,83.00,224,0.054,0.1,,62,60,0.9,0.388,0.577,0.035,0.514,Africa,Ghana
0.038,0.91,40,,5067360041.00,0.06,27.00,416,0.069,0,,56,55,0.4,0.427,0.542,0.031,0.353,Africa,Guinea
0.038,0.46,9,,967762549.00,0.06,35.00,208,0.082,0,,55,52,0.5,0.417,0.553,0.029,0.461,Africa,Guinea-Bissau
0.036,0.49,33,20179,34313315840.00,0.04,35.00,393,0.05,0.3,0.15,62,59,0.7,0.425,0.549,0.026,0.24,Africa,Kenya
